Galaxy Number,Name,RA H, RA M, RA S,Dec,Arcmin, Arcsec, LambdaH,LambdaK
46,IC 3651,12,38,18,27,0,0,4031.071892,3995.751163
47,1240 2800,12,40,36,28,0,0,4069.085568,4033.151041
48,1242 2845,12,42,11.7,28,44,35,3981.137957,3945.556466
49,NGC 4670,12,42,49.9,27,23,56,3983.129081,3947.584757
50,NGC 4673,12,43,7.6,27,20,3,4061.50529,4025.685182
51,IC 821,12,45,0,30,4,0,4057.874427,4022.151904
52,1245 2715,12,45,15.6,27,15,12,4062.653868,4026.317638
53,NGC 4692,12,45,28.8,27,29,48,4075.642639,4039.140625
54,1250 2839,12,50,24,28,39,0,4061.940785,4026.29237
55,NGC 4789,12,51,54.8,27,20,18,4080.075158,4043.900339
56,NGC 4793,12,52,16,29,12,30,4000.710267,3965.358189
57,NGC 4798,12,52,36,27,41,0,4073.78512,4037.812475
58,NGC 4807,12,53,6,27,47,0,4061.264938,4025.817624
59,NGC 4816,12,53,48,28,1,0,4061.588825,4025.698698
60,NGC 4819,12,54,0,27,15,0,4058.161333,4021.917906
61,NGC 4827,12,54,18,27,27,0,4070.207597,4033.910281
62,1254 +3059B,12,54,36,30,59,0,4064.336109,4028.168262
63,NGC 4839,12,54,59.4,27,46,0,4068.384899,4032.255807
64,1255 2749,12,55,0,27,49,0,4040.694415,4004.863422
65,NGC 4841A,12,55,7.2,28,44,48,4059.255568,4023.28423
66,NGC 4841B,12,55,9,28,45,6,4051.13994,4015.283947
67,NGC 4848,12,55,42,28,31,0,4064.909611,4028.747748
68,NGC 4853,12,56,10.3,27,52,0,4070.831115,4034.561966
69,NGC 4860,12,56,39.6,28,23,36,4072.585181,4036.131634
70,NGC 4865,12,56,55,28,21,12,4029.795128,3993.887153
71,NGC 4872,12,57,10,28,13,9,4063.070322,4026.988524
72,NGC 4874,12,57,10.8,28,13,48,4063.549493,4027.315169
73,NGC 4892,12,57,36,27,10,0,4046.552608,4010.532794
74,NGC 4889,12,57,43.5,28,14,46,4054.69636,4018.982275
75,NGC 4895,12,57,52.8,28,28,12,4080.723265,4044.390433
76,IC 842,12,58,12,29,17,0,4064.688446,4029.098648
77,NGC 4907,12,58,24,28,25,0,4046.58167,4010.647985
78,NGC 4911,12,58,30,28,3,0,4073.921096,4037.688814
79,NGC 4921,12,59,0,28,9,0,4040.959382,4005.110086
80,NGC 4923,12,59,7.2,28,6,54,4042.115779,4006.241582
81,NGC 4926,12,59,29.4,27,53,36,4070.351877,4034.539052
